Example,Generated Java Code
1,"import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;

public class FileHashGenerator {

    private static final int HASH_LENGTH = 32; // SHA-256 hash length in bytes

    public enum HashType {
        ZERO_HASH,
        CREATE_DOUBLE,
        DUPLICATE
    }

    public interface HashFunction<T> {
        T apply(byte[] input);
    }

    public static class Sha256Hash extends Object implements HashType, HashFunction<Sha256Hash> {

        private byte[] bytes;

        @Override
        public String toString() {
            return ""Sha256Hash{"" +
                    ""bytes="" + toBigInteger(bytes) +
                    '}';
        }

        @Override
        public BigInteger toBigInteger() {
            if (bytes == null) throw new IllegalStateException(""Bytes are not initialized"");
            return new BigInteger(1, bytes);
        }

        @Override
        public Sha256Hash duplicate() {
            return new Sha256Hash(bytes.clone());
        }

        @Override
        public int compareTo(Sha256Hash other) {
            if (this.bytes == null && other.bytes != null) return 1;
            if (this.bytes != null && other.bytes == null) return -1;

            // Sort the byte array to ensure comparable results
            for (int i = 0; i < HASH_LENGTH / 2; i++) {
                int temp = this.bytes[i];
                this.bytes[i] = other.bytes[i];
                this.bytes[i + HASH_LENGTH / 2] = temp;
            }

            return compareArrays(this.bytes, other.bytes);
        }

        @Override
        public byte[] getBytes() {
            return bytes.clone();
        }

        private static int compareArrays(byte[] a, byte[] b) {
            for (int i = 0; i < HASH_LENGTH / 2; i++) {
                if (a[i] != b[i]) return Integer.compare(a[i], b[i]);
            }
            return 0;
        }

        public Sha256Hash(Sha256Hash other) {
            this.bytes = other.bytes.clone();
        }

        @Override
        public int hashCode() {
            int hash = 0;
            for (byte b : bytes) hash += b & 0xff;
            return hash;
        }

        @Override
        public boolean equals(Object obj) {
            if (!(obj instanceof Sha256Hash)) return false;
            Sha256Hash other = (Sha256Hash) obj;
            return compareArrays(bytes, other.bytes) == 0;
        }

        public static Sha256Hash create(byte[] input) throws NoSuchAlgorithmException {
            MessageDigest md = MessageDigest.getInstance(""SHA-256"");
            md.update(input);
            return new Sha256Hash(md.digest());
        }

        private Sha256Hash(byte[] bytes) {
            this.bytes = bytes.clone();
        }
    }

    public static class ZeroHash extends Object implements HashType {

        @Override
        public String toString() {
            return ""ZeroHash"";
        }

        @Override
        public BigInteger toBigInteger() {
            throw new IllegalStateException(""Bytes are not initialized"");
        }

        @Override
        public Sha256Hash duplicate() {
            throw new IllegalStateException(""Bytes are not initialized"");
        }

        @Override
        public int compareTo(Sha256Hash other) {
            return 0; // Always zero hash is equal to itself
        }

        @Override
        public byte[] getBytes() {
            return null;
        }
    }

    public static class CreateDoubleHash extends Object implements HashType {

        private double value;

        @Override
        public String toString() {
            return ""CreateDoubleHash{"" +
                    ""value="" + value +
                    '}';
        }

        @Override
        public BigInteger toBigInteger() {
            throw new IllegalStateException(""Bytes are not initialized"");
        }

        @Override
        public Sha256Hash duplicate() {
            throw new IllegalStateException(""Bytes are not initialized"");
        }

        @Override
        public int compareTo(Sha256Hash other) {
            if (this.value != other.value) return Double.compare(this.value, other.value);
            return 0;
        }

        @Override
        public byte[] getBytes() {
            throw new IllegalStateException(""Bytes are not initialized"");
        }
    }

    public static void main(String[] args) throws NoSuchAlgorithmException, IOException {
        File file = new File(""path_to_your_file.txt"");

        Sha256Hash hash = Sha256Hash.create(readAll(file));

        System.out.println(hash.toString());
    }

    private static byte[] readAll(File file) throws IOException {
        try (FileInputStream fis = new FileInputStream(file)) {
            byte[] buffer = new byte[4096];
            int bytesRead;
            StringBuilder content = new StringBuilder();
            while ((bytesRead = fis.read(buffer)) != -1) {
                content.append(new String(buffer, 0, bytesRead));
            }
            return content.toString().getBytes();
        }
    }
}"
2,"import java.util.UUID;

public class MyClass {

    private static final Logger LOG = LoggerFactory.getLogger(MyClass.class);

    public static String getObjectID(Object object) {
        if (object == null || !hasObjectID(object)) {
            return generateID();
        }
        return readObjectID(object);
    }

    private static boolean hasObjectID(Object object) {
        // Assuming a getter method to check for object ID
        return object instanceof MyObjectWithID && ((MyObjectWithID) object).getId() != null;
    }

    private static String generateID() {
        LOG.info(""Generating new ID for {}"", getClass().getSimpleName());
        String id = UUID.randomUUID().toString();
        // Set the generated ID in the object
        setObjectID(id);
        return id;
    }

    private static void setObjectID(String id) {
        if (id != null) {
            // Assuming a setter method to update the object ID
            MyObjectWithID myObject = getMyObject();
            if (myObject != null) {
                myObject.setId(id);
            }
        }
    }

    private static MyObjectWithID getMyObject() {
        // Replace with your actual logic to retrieve an instance of MyObjectWithID
        return new MyObjectWithID(); // This is a placeholder, you should replace it with your actual implementation.
    }

    public static String readObjectID(Object object) {
        if (object == null || !hasObjectID(object)) {
            LOG.error(""Could not find ID for {}"", object);
            return null;
        }
        return ((MyObjectWithID) object).getId();
    }

    private static class MyObjectWithID {
        private String id;

        public String getId() {
            return id;
        }

        public void setId(String id) {
            this.id = id;
        }
    }

    @Override
    public String toString() {
        // Replace with your actual logic to generate the string representation of MyClass
        return getClass().getSimpleName();
    }
}"
3,"import org.junit.jupiter.api.extension.SupportedAnnotation;
import org.junit.jupiter.api.extension.TestMarkerExtension;

@SupportedAnnotation({GreaterThan.class})
@TestMarkerExtension
public class GreaterThanMatcher<T> extends ComparatorMatcher<T> {

    private final T value;

    public GreaterThanMatcher(T value) {
        this.value = value;
    }

    @Override
    protected boolean equals(Object obj, Object otherObj) {
        return super.equals(obj, otherObj) && obj instanceof Comparable && otherObj instanceof Comparable
                && ((Comparable) obj).compareTo(otherObj) > 0;
    }
}"
4,"public class Fraction {
    public static final int ZERO = 0;
    public static final int ONE = 1;

    private int denom;
    private boolean isOne;
    private Scaled getScaled;

    public enum Scaled {
        DENOMINATOR,
        NUMERATOR
    }

    public Fraction(int num, boolean isOne) {
        this.denom = Math.abs(num);
        this.isOne = isOne;
        if (denom == 0) {
            throw new ArithmeticException(""Denominator cannot be zero"");
        }
    }

    public int getNum() {
        return isOne ? ZERO : num;
    }

    public boolean equals(int otherNum) {
        int scaledOtherNum = getScaled(otherNum);
        return scaledOtherNum == getScaled(num);
    }

    private int getScaled(int num) {
        if (isOne) {
            return ONE;
        } else if (num > denom) {
            return 1; // scale to make denominator equal to numerator
        } else {
            return num % denom;
        }
    }

    public int getDenominator() {
        return denom;
    }

    @Override
    public String toString() {
        return isOne ? ""0/1"" : num + ""/"" + denom;
    }
}"
5,"import java.text.ParseException;
import java.text.SimpleDateFormat;
import java.util.ArrayList;
import java.util.Date;

public class Main {

    // Method to set ID str
    public static GenericJSONBuilder setIdstr(String id_str) {
        return new GenericJSONBuilder(""id_str"", id_str);
    }

    // Method to set place name
    public static GenericJSONBuilder setPlaceName(String place_name) {
        return new GenericJSONBuilder(""place_name"", place_name);
    }

    // Method to add text
    public static GenericJSONBuilder addText(String text) {
        return new GenericJSONBuilder(""text"", text);
    }

    // Method to add field
    public static GenericJSONBuilder addField(String fieldName, String fieldValue) {
        return new GenericJSONBuilder(fieldName, fieldValue);
    }

    // Insert method is not applicable as it's not a part of the provided methods.
    
    // Set Coordinate Radius
    public static GenericJSONBuilder setCoordinateRadius(double lat, double lng, int loc_radius) {
        return new GenericJSONBuilder(""coordinates"", ""[\"""" + String.format(""%.3f"", lat) + "", "" + String.format(""%.3f"", lng) + ""\""]"")
                .addField(""loc_radius"", String.valueOf(loc_radius));
    }

    // Set Coordinate
    public static GenericJSONBuilder setCoordinate(String lat, String lng) {
        return new GenericJSONBuilder(""coordinates"", ""[\"""" + lat + "", "" + lng + ""\ ""]"");
    }

    // Set Created Time
    public static void setCreatedTime(Date created_at) throws ParseException {
        SimpleDateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"");
        dateFormat.setLenient(false);
        dateFormat.parse((created_at));
    }

    // Method to persist
    public static GenericJSONBuilder persist(GenericJSONBuilder builder) {
        return builder.buildFieldJSON(""json"", ""{\""id_str\"":\"""" + builder.getIdstr() + ""\"", \""screen_name\"":\"""" +
                builder.getScreenName() + ""\"", \""place_name\"":\"""" + builder.getPlaceName() +
                ""\"", \""image\"":\""\"", \""user_name\"":\""\"", \""lng\"":\"""" + String.format(""%.3f"", builder getting lng()) + ""\"", \""created_at\"":\"""" +
                dateFormat.format(builder.getCreatedTime()) + ""\"", \""loc_radius\"":0, \""user_id\"":\"""" + builder.getUserid() + ""\"", \""text\"":\"""" + builder.getText() +
                ""\"", \""coordinates\"":[\"""" + builder.getCoordinate() + ""\""], \"" extras\"":[]}""));
    }

    // Method to build field JSON
    public static String buildFieldJSON(String fieldName) {
        return fieldName + "":\"""";
    }
    
    // Generic class to represent the builder 
    public static class GenericJSONBuilder {

        private final ArrayList<String> fields = new ArrayList<>();
        private String id_str;
        private String screen_name;
        private String place_name;
        private String image;
        private String user_name;
        private double lng;
        private Date created_at;
        private int loc_radius;
        private String user_id;
        private String text;

        public GenericJSONBuilder(String fieldName, String fieldValue) {
            fields.add(fieldName + "":"" + fieldValue);
        }

        public String getIdstr() {
            return id_str;
        }

        public void setIdstr(String id_str) {
            this.id_str = id_str;
        }

        public String getScreenName() {
            return screen_name;
        }

        public void setScreenName(String screen_name) {
            this.screen_name = screen_name;
        }

        public String getPlaceName() {
            return place_name;
        }

        public void setPlaceName(String place_name) {
            this.place_name = place_name;
        }

        public String getImage() {
            return image;
        }

        public void setImage(String image) {
            this.image = image;
        }

        public String getUserName() {
            return user_name;
        }

        public void setUserName(String user_name) {
            this.user_name = user_name;
        }

        public double getLng() {
            return lng;
        }

        public void setLng(double lng) {
            this.lng = lng;
        }

        public Date getCreatedTime() throws ParseException {
            return created_at;
        }

        public void setCreatedTime(Date created_at) {
            this.created_at = created_at;
        }

        public int getLocRadius() {
            return loc_radius;
        }

        public void setLocRadius(int loc_radius) {
            this.loc_radius = loc_radius;
        }

        public String getUserid() {
            return user_id;
        }

        public void setUserid(String user_id) {
            this.user_id = user_id;
        }

        public String getText() {
            return text;
        }

        public void setText(String text) {
            this.text = text;
        }

        public ArrayList<String> getFields() {
            return fields;
        }

        public GenericJSONBuilder addField(String fieldName, String fieldValue) {
            fields.add(fieldName + "":"" + fieldValue);
            return this;
        }

        public GenericJSONBuilder setCoordinateRadius(double lat, double lng, int loc_radius) {
            this.fields.add(""coordinates:[\"""" + String.format(""%.3f"", lat) + "", "" + String.format(""%.3f"", lng) + ""\ ""]"");
            fields.add(""loc_radius:"" + String.valueOf(loc_radius));
            return this;
        }

        public GenericJSONBuilder setCoordinate(String lat, String lng) {
            this.fields.add(""coordinates:[\"""" + lat + "", "" + lng + ""\ ""]"");
            return this;
        }

        public void persist() throws ParseException {
            StringBuilder builder = new StringBuilder();
            for (String field : fields) {
                builder.append(field).append("","");
            }
            builder.deleteCharAt(builder.length() - 1);
            String jsonBuilder = ""{"";
            builder.append(""\""json\"":\"""");
            builder.append(jsonBuilder);
            builder.append(""\""}"");
            System.out.println(builder.toString());
        }

        public GenericJSONBuilder setCoordinate(double lat, double lng) {
            this.fields.add(""coordinates:[\"""" + String.format(""%.3f"", lat) + "", "" + String.format(""%.3f"", lng) + ""\ ""]"");
            return this;
        }

        public GenericJSONBuilder buildFieldJSON(String fieldName) {
            return new GenericJSONBuilder(fieldName);
        }
    }

    // Usage
    public static void main(String[] args) throws ParseException {
        GenericJSONBuilder builder = new GenericJSONBuilder();

        builder.setIdstr(""123"");
        builder.setScreenName(""Test User"");

        builder.setPlaceName(""Some Place"");
        builder.addText(""Hello World!"");

        builder.setLng(50.0);
        builder.setCoordinateRadius(10, 20, 30);

        String lat = ""40.7128"";
        String lng = ""-74.0060"";
        builder.setLng(40.7128);
        builder.setCoordinate(lat, lng);

        Date created_at = new Date();
        SimpleDateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"");
        dateFormat.setLenient(false);
        dateFormat.parse(created_at);
        builder.setCreatedTime(created_at);

        builder.setUserid(""12345"");

        System.out.println(builder.persist());
    }
}"
6,"import org.osgi.framework.BundleContext;
import org.osgi.framework.ServiceReference;

public class StopBundleActivator implements BundleActivator {

    private BundleContext context;

    @Override
    public void stop(BundleContext context) throws Exception {
        this.context = context;
        
        // Since we don't have any services to unregister, 
        // the framework will automatically do it for us.
        // We can still log a message to confirm that no actions were taken.
        System.out.println(""Bundle stopped: No action taken since there are no services to unregister."");
    }
}"
7,"import java.io.ByteArrayInputStream;
import java.io.DataInputStream;
import java.io.IOException;

public class TestBufferedBlockInStream {

    public static void main(String[] args) {
        // Create a new BufferedBlockInputStream instance.
        BufferedBlockInStream mTestStream = createTestStream();

        System.out.println(""Testing seek(long) method:"");
        testSeekMethod(mTestStream, 0, ""Seek to start of stream"");
        testSeekMethod(mTestStream, 5, ""Seek to middle of stream"");
        testSeekMethod(mTestStream, 10, ""Seek to end of stream"");
    }

    private static BufferedBlockInStream createTestStream() {
        // Create a byte array with some data.
        byte[] testData = new byte[20];
        for (int i = 0; i < testData.length; i++) {
            testData[i] = (byte) i;
        }

        // Create a ByteArrayInputStream instance from the test data.
        ByteArrayInputStream bais = new ByteArrayInputStream(testData);

        // Wrap the bais with BufferedBlockInStream.
        return new BufferedBlockInStream(bais);
    }

    private static void testSeekMethod(BufferedBlockInStream mTestStream, long position, String message) {
        try {
            // Seek to the specified position.
            if (!mTestStream.seek(position)) {
                System.out.println(message + "": seek failed"");
                return;
            }

            // Check if we are at the correct position.
            int bytesRead = mTestStream.read();
            System.out.println(""Read "" + bytesRead + "" bytes. Position: "" + mTestStream.getPosition());
        } catch (IOException e) {
            System.out.println(message + "": seek failed"");
        }
    }
}"
8,"import java.lang.ref.WeakReference;
import java.util.concurrent.atomic.AtomicLong;

public class GarbageCollectionTest {
    private AtomicLong latch = new AtomicLong();
    private long timeoutSeconds;

    public void testGarbageCollection(long timeoutSeconds) {
        this.timeoutSeconds = timeoutSeconds;
        awaitFinalize();

        createUnreachableLatchFinalizer();
        awaitDone(timeoutSeconds);
        awaitClear();

        waitUntilDone();
    }

    // Method to await finalize method invocation
    private void awaitFinalize() {
        for (int i = 0; i < 2; i++) {
            try {
                Thread.sleep(100); // Sleep for a short duration to allow finalize methods to run
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
            }
            if (!latch.get()) {
                return;
            }
        }
    }

    // Method to create an unreachable latch finalizer
    private void createUnreachableLatchFinalizer() {
        WeakReference<Object> weakRef = new WeakReference<>(new Object());
        Runtime.getRuntime().gc(); // Trigger garbage collection
        System.out.println(""Garbage collected"");
    }

    // Method to await done
    private void awaitDone(long timeoutSeconds) {
        long startTime = System.currentTimeMillis();
        while (System.currentTimeMillis() - startTime < timeoutSeconds * 1000) {
            if (!latch.get()) {
                break;
            }
            try {
                Thread.sleep(10); // Sleep for a short duration to allow other threads to run
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
            }
        }
    }

    // Method to await clear
    private void awaitClear() {
        while (!latch.get()) {
            try {
                Thread.sleep(10); // Sleep for a short duration to allow other threads to run
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
            }
        }
    }

    // Method to wait until done
    private void waitUntilDone() {
        while (!latch.get()) {
            try {
                Thread.sleep(10); // Sleep for a short duration to allow other threads to run
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
            }
        }
    }

    public class UnreachableLatchFinalizer implements Runnable {
        @Override
        public void run() {
            latch.set(true);
        }
    }

    public static void main(String[] args) throws InterruptedException {
        GarbageCollectionTest test = new GarbageCollectionTest();

        // Create and start a thread for the unreachable latch finalizer
        Thread finalizerThread = new Thread(test.new UnreachableLatchFinalizer());
        finalizerThread.setUncaughtExceptionHandler((t, e) -> System.out.println(""Exception occurred in unreachable latch finalizer""));
        finalizerThread.start();
    }
}"
9,"import com.amazonaws.services.s3.transfer.AbsAsyncRequestListener;
import com.amazonaws.services.s3.transfer.AbstractAsyncTransferService;
import com.amazonaws.services.s3.transfer.ProgressListener;
import com.amazonaws.services.s3.util.StringUtilities;

public class S3UploadExample {

    public static void main(String[] args) throws Exception {
        // Set up your AWS credentials and region
        Properties awsConfig = new Properties();
        awsConfig.put(""aws.accessKeyId"", ""YOUR_ACCESS_KEY"");
        awsConfig.put(""aws.secretAccessKey"", ""YOUR_SECRET_KEY"");
        awsConfig.put(""aws.region.name"", ""YOUR_REGION"");

        // Create a new S3 client
        AmazonS3 s3Client = AmazonS3ClientBuilder.standard()
                .withCredentials(new AWSStaticCredentialsProvider(awsConfig))
                .build();

        // Set up the bucket and key
        String bucketName = ""your-bucket-name"";
        String key = ""key.txt"";

        // Create a new TransferManager
        TransferManager transferManager = new TransferManager(s3Client);

        // Create an S3DirectInputStream
        S3DirectInputStream stream = transferManager.createS3DirectInputStream(bucketName, key, null, 0, 1024 * 1024);

        try {
            // Get the file to upload
            byte[] bytes = ""Hello, World!"".getBytes();

            // Upload the file to S3
            stream.write(bytes);
        } finally {
            // Close the stream and transfer manager
            stream.close();
            transferManager.close();
        }
    }
}"
10,"public class CommentGenerator {
    private StringBuilder comments;

    public CommentGenerator() {
        this.comments = new StringBuilder();
    }

    /**
     * Appends a comment to the generated documentation.
     * 
     * @param comment The comment to be appended. If it's not provided, an empty string will be used.
     * @return True if the comment was appended successfully, false otherwise.
     */
    public boolean appendComment(String comment) {
        if (comment == null || comment.isEmpty()) {
            return false;
        }
        comments.append(comment).append(""\n"");
        return true;
    }

    /**
     * Returns the generated documentation in C-style comment format.
     * 
     * @return The generated documentation.
     */
    public String getComments() {
        if (defaultFor != null) {
            return defaultFor();
        }
        return comments.toString().trim();
    }

    private String defaultFor() {
        // Replace this with your own implementation
        return ""No documentation available."";
    }
}"
