Example,Generated Java Code
1,"import java.math.BigInteger;
import java.nio.file.Files;
import java.security.MessageDigest;
import java.util.Arrays;

public class Sha256Hash {
    private static final byte[] ZERO_HASH = new byte[32]; // 32 bytes for SHA-256 hash
    
    private byte[] bytes;
    
    public Sha256Hash(byte[] bytes) {
        this.bytes = bytes;
    }
    
    public static Sha256Hash ZERO_HASH() {
        return new Sha256Hash(ZERO_HASH);
    }
    
    public int hashCode() {
        return Arrays.hashCode(bytes);
    }
    
    public boolean equals(Object obj) {
        if (obj instanceof Sha256Hash) {
            byte[] otherBytes = ((Sha256Hash) obj).getBytes();
            return Arrays.equals(bytes, otherBytes);
        } else {
            return false;
        }
    }
    
    public static Sha256Hash create() throws Exception {
        MessageDigest md = MessageDigest.getInstance(""SHA-256"");
        byte[] bytes = Files.readAllBytes(Paths.get(""file.txt""));
        return new Sha256Hash(md.digest(bytes));
    }
    
    public BigInteger toBigInteger() {
        return new BigInteger(1, bytes);
    }
    
    public String toString() {
        return bytes.toString();
    }
    
    public Sha256Hash duplicate() {
        return new Sha256Hash(bytes.clone());
    }
    
    public int compareTo(Sha256Hash other) {
        return Arrays.compareUnsigned(bytes, other.getBytes());
    }
    
    public byte[] getBytes() {
        return bytes;
    }
}"
10,"public class Documentation {
    private static final String LINE_SEPARATOR = System.getProperty(""line.separator"");

    private StringBuilder docs;

    public Documentation() {
        this.docs = new StringBuilder();
    }

    public void setDocs(int index, String comment) {
        if (index < 0 || index >= docs.length()) {
            throw new IndexOutOfBoundsException(""Invalid index: "" + index);
        }
        docs.setCharAt(index, comment);
    }

    public boolean hasDocs() {
        return docs.length() > 0;
    }

    public String getComments() {
        return docs.toString();
    }

    public String getComments(int index) {
        if (index < 0 || index >= docs.length()) {
            throw new IndexOutOfBoundsException(""Invalid index: "" + index);
        }
        return docs.substring(index, docs.indexOf(LINE_SEPARATOR, index));
    }

    public String defaultFor() {
        if (!hasDocs()) {
            return """";
        }
        int firstLineIndex = docs.indexOf(LINE_SEPARATOR);
        if (firstLineIndex == -1) {
            return docs.toString();
        }
        int secondLineIndex = docs.indexOf(LINE_SEPARATOR, firstLineIndex + 1);
        if (secondLineIndex == -1) {
            return docs.substring(firstLineIndex + 1);
        }
        return docs.substring(firstLineIndex + 1, secondLineIndex);
    }
}"
100,"package net.sf.marineapi.nmea.parser;

import org.junit.Test;

public class RMCParserTest {
    @Test
    public void testConstructor() {
        RMCParser rmc = new RMCParser();
        assertNotNull(rmc);
    }
    
    @Test
    public void testGetTime() {
        RMCParser rmc = new RMCParser(""RMC"");
        assertEquals(""0000.00"", rmc.getTime());
    }
    
    @Test
    public void testSetFaaModeWhenOmitted() {
        RMCParser rmc = new RMCParser();
        rmc.setFaaMode(RMCParser.FAA_MODE_OMITTED);
        assertEquals(RMCParser.FAA_MODE_OMITTED, rmc.getFaaMode());
    }
    
    @Test
    public void testSetDirectionOfVariationWithInvalidDirection() {
        RMCParser rmc = new RMCParser();
        String invalidDirection = ""North"";
        assertThrows(IllegalArgumentException.class, () -> rmc.setDirectionOfVariation(invalidDirection));
    }
    
    @Test
    public void testGetCorrectedCourse() {
        RMCParser rmc = new RMCParser();
        assertEquals(""000.0"", rmc.getCorrectedCourse());
    }
    
    @Test
    public void testGetDataStatus() {
        RMCParser rmc = new RMCParser();
        assertEquals(RMCParser.DATA_STATUS_VALID, rmc.getDataStatus());
    }
    
    @Test
    public void testSetCourse() {
        RMCParser rmc = new RMCParser();
        String course = ""0123.45"";
        rmc.setCourse(course);
        assertEquals(""0123.45"", rmc.getCourse());
    }
    
    @Test
    public void testSetFaaMode() {
        RMCParser rmc = new RMCParser();
        String faaMode = ""A"";
        rmc.setFaaMode(faaMode);
        assertEquals(""A"", rmc.getFaaMode());
    }
    
    @Test
    public void testSetVariation() {
        RMCParser rmc = new RMCParser();
        String variation = ""0123.45"";
        rmc.setVariation(variation);
        assertEquals(""0123.45"", rmc.getVariation());
    }
    
    @Test
    public void testSetPosition() {
        RMCParser rmc = new RMCParser();
        String position = ""0123.45, 9876.54"";
        rmc.setPosition(position);
        assertEquals(""0123.45"", rmc.getLatitude());
        assertEquals(""9876.54"", rmc.getLongitude());
    }
    
    @Test
    public void testGetDay() {
        RMCParser rmc = new RMCParser();
        assertEquals(0, rmc.getDay());
    }
    
    @Test
    public void testGetMonth() {
        RMCParser rmc = new RMCParser();
        assertEquals(0, rmc.getMonth());
    }
    
    @Test
    public void testGetYear() {
        RMCParser rmc = new RMCParser();
        assertEquals(0, rmc.getYear());
    }
    
    @Test
    public void testGetSpeed() {
        RMCParser rmc = new RMCParser();
        assertEquals(0, rmc.getSpeed());
    }
    
    @Test
    public void testSetDataStatus() {
        RMCParser rmc = new RMCParser();
        String dataStatus = ""V"";
        rmc.setDataStatus(dataStatus);
        assertEquals(""V"", rmc.getDataStatus());
    }
    
    @Test
    public void testSetDate() {
        RMCParser rmc = new RMCParser();
        String date = ""12309876"";
        rmc.setDate(date);
        assertEquals(""12309876"", rmc.getDate());
    }
    
    @Test
    public void testSetTime() {
        RMCParser rmc = new RMCParser();
        String time = ""123456"";
        rmc.setTime(time);
        assertEquals(""123456"", rmc.getTime());
    }
    
    @Test
    public void testGetPosition() {
        RMCParser rmc = new RMCParser();
        String position = ""0123.45, 9876.54"";
        rmc.setPosition(position);
        assertEquals(""0123.45"", rmc.getLatitude());
        assertEquals(""9876.54"", rmc.getLongitude());
    }
    
    @Test
    public void testGetMagneticVariation() {
        RMCParser rmc = new RMCParser();
        String magneticVariation = ""0123.45"";
        rmc.setMagneticVariation(magneticVariation);
        assertEquals(""0123.45"", rmc.getMagneticVariation());
    }
    
    @Test
    public void testGetLatitude() {
        RMCParser rmc = new RMCParser();
        String position = ""0123.45, 9876.54"";
        rmc.setPosition(position);
        assertEquals(""0123.45"", rmc.getLatitude());
    }
    
    @Test
    public void testGetLongitude() {
        RMCParser rmc = new RMCParser();
        String position = ""0123.45, 9876.54"";
        rmc.setPosition(position);
        assertEquals(""9876.54"", rmc.getLongitude());
    }
    
    @Test
    public void testSetFaaModeWithInvalidValue() {
        RMCParser rmc = new RMCParser();
        String faaMode = ""A"";
        assertThrows(IllegalArgumentException.class, () -> rmc.setFaaMode(faaMode));
    }
    
    @Test
    public void testGetFaaMode() {
        RMCParser rmc = new RMCParser();
        String faaMode = ""A"";
        rmc.setFaaMode(faaMode);
        assertEquals(""A"", rmc.getFaaMode());
    }
    
    @Test
    public void testGetDate() {
        RMCParser rmc = new RMCParser();
        String date = ""12309876"";
        rmc.setDate(date);
        assertEquals(""12309876"", rmc.getDate());
    }
    
    @Test
    public void testSetSpeed() {
        RMCParser rmc = new RMCParser();
        String speed = ""0123.45"";
        rmc.setSpeed(speed);
        assertEquals(""0123.45"", rmc.getSpeed());
    }
}"
101,"[PYTHON]
import java.util.regex.Matcher;
import java.util.regex.Pattern;

public class JavaScriptEscape {
    private static final Pattern JS_CHARACTERS = Pattern.compile(""['\""]"");
    private static final String ESCAPED_JS_CHARACTERS = ""\\$0"";

    public static String getCleanInput(String input) {
        return input.replaceAll(ESCAPED_JS_CHARACTERS, Matcher.quoteReplacement(""\\\\$0""));
    }

    public static String getCleanerInput(String input) {
        return input.replaceAll(""javascript"", """");
    }
}
[/PYTHON]
[TESTS]
# Test case 1:
assert JavaScriptEscape.getCleanInput(""'"") == ""\\'"";
# Test case 2:
assert JavaScriptEscape.getCleanInput('""') == '\\""';
# Test case 3:
assert JavaScriptEscape.getCleanInput(""javascript"") == """";
# Test case 4:
assert JavaScriptEscape.getCleanerInput(""'"") == ""\\'"";
# Test case 5:
assert JavaScriptEscape.getCleanerInput('""') == '\\""';
# Test case 6:
assert JavaScriptEscape.getCleanerInput(""javascript"") == """";
[/TESTS]"
102,"package com.example;

import java.util.Objects;

public class Wsse {
    private String identifier;
    private String wsseValueType;
    private boolean useKeyIdentifier;
    private boolean useDirectReference;
    private String wsse11TokenType;

    public Wsse() {}

    public void setWsse11TokenType(String wsse11TokenType) {
        this.wsse11TokenType = wsse11TokenType;
    }

    public String getWsse11TokenType() {
        return wsse11TokenType;
    }

    public void setIdentifier(String identifier) {
        this.identifier = identifier;
    }

    public String getIdentifier() {
        return identifier;
    }

    public void setUseDirectReference(boolean useDirectReference) {
        this.useDirectReference = useDirectReference;
    }

    public boolean isUseKeyIdentifier() {
        return useKeyIdentifier;
    }

    public void setUseKeyIdentifier(boolean useKeyIdentifier) {
        this.useKeyIdentifier = useKeyIdentifier;
    }

    public boolean isUseDirectReference() {
        return useDirectReference;
    }

    public void setWsseValueType(String wsseValueType) {
        this.wsseValueType = wsseValueType;
    }

    public String getWsseValueType() {
        return wsseValueType;
    }
}"
103,"import java.util.*;
import java.time.Instant;

public class Tweet {
    private final double lat;
    private final String id_str;
    private final String screen_name;
    private final String place_name;
    private final String image;
    private final Date created_at;
    private final int loc_radius;
    private final String user_id;
    private final String text;
    private final ArrayList<String> extras;

    public Tweet(double lat, String id_str, String screen_name, String place_name, String image, Date created_at, int loc_radius, String user_id, String text, ArrayList<String> extras) {
        this.lat = lat;
        this.id_str = id_str;
        this.screen_name = screen_name;
        this.place_name = place_name;
        this.image = image;
        this.created_at = created_at;
        this.loc_radius = loc_radius;
        this.user_id = user_id;
        this.text = text;
        this.extras = extras;
    }

    public GenericJSONBuilder setIDstr(String id_str) {
        return new GenericJSONBuilder().setField(""id_str"", id_str);
    }

    public GenericJSONBuilder setPlaceName(String place_name) {
        return new GenericJSONBuilder().setField(""place_name"", place_name);
    }

    public GenericJSONBuilder addText(String text) {
        return new GenericJSONBuilder().addField(""text"", text);
    }

    public void insert(Tweet tweet) {
        // Insert the tweet into a database or other data storage system here
    }

    public GenericJSONBuilder setCoordinateRadius(double lat, double lng, int radius) {
        return new GenericJSONBuilder().setField(""lat"", lat).setField(""lng"", lng).setField(""radius"", radius);
    }

    public GenericJSONBuilder setAuthor(String author) {
        return new GenericJSONBuilder().setField(""author"", author);
    }

    public String buildFieldJSON() {
        return """"; // Build a JSON string representing the tweet here
    }

    public void persist() {
        insert(this);
    }
}"
104,"import java.util.*;

public class ResourceLoader {
  private static final Logger LOGGER = LoggerFactory.getLogger(ResourceLoader.class);

  private Map<Object, Object> bag;

  public void setResources(List<Resource> resources) {
    this.bag = new HashMap<>();
    for (Resource resource : resources) {
      String propertyName = getProperty(resource);
      if (propertyName != null) {
        bag.put(propertyName, resource);
      }
    }
  }

  public void loadProperties() {
    // Load the properties file and add them to the bag
    Properties props = new Properties();
    try {
      props.load(new FileInputStream(""resources.properties""));
    } catch (IOException e) {
      LOGGER.error(""Error loading properties"", e);
      return;
    }
    for (Object propertyName : props.stringPropertyNames()) {
      String propertyValue = props.getProperty(propertyName);
      bag.put(propertyName, propertyValue);
    }
  }

  private String getProperty(Resource resource) {
    // Implement the logic to extract the property name from the Resource object
    return null;
  }
}"
105,"import java.util.Map;
import java.util.Properties;
import java.util.Set;
import java.io.FileInputStream;
import java.io.FileOutputStream;

public class Settings {
    private Properties properties;
    private String filePath;

    public Settings(String filePath) {
        this.filePath = filePath;
        properties = new Properties();
        loadSettings();
    }

    public void loadSettings() {
        try (FileInputStream inputStream = new FileInputStream(filePath)) {
            properties.load(inputStream);
        } catch (IOException e) {
            e.printStackTrace();
        }
    }

    public void saveSettings() {
        try (FileOutputStream outputStream = new FileOutputStream(filePath)) {
            properties.store(outputStream, null);
        } catch (IOException e) {
            e.printStackTrace();
        }
    }

    public boolean getBoolean(String key) {
        return Boolean.parseBoolean(properties.getProperty(key));
    }

    public int getInteger(String key) {
        return Integer.parseInt(properties.getProperty(key));
    }

    public long getLong(String key) {
        return Long.parseLong(properties.getProperty(key));
    }

    public char getChar(String key) {
        return properties.getProperty(key).charAt(0);
    }

    public String getString(String key) {
        return properties.getProperty(key);
    }

    public void removeSetting(String key) {
        properties.remove(key);
    }

    public void overrideSetting(String key, Object value) {
        properties.setProperty(key, value.toString());
    }

    public Map<String, String> getMap() {
        return (Map<String, String>) properties;
    }

    public List<String> getStrings(String key) {
        return Arrays.asList(properties.getProperty(key).split(""\\s+""));
    }

    public List<Integer> getIntegers(String key) {
        return Arrays.stream(properties.getProperty(key).split(""\\s+"")).map(Integer::parseInt).collect(Collectors.toList());
    }

    public void merge(Settings otherSettings) {
        properties.putAll(otherSettings.getProperties());
    }

    public String getRequiredString(String key) {
        return properties.getProperty(key);
    }

    public List<String> getAllKeys() {
        return Arrays.asList(properties.stringPropertyNames());
    }
}"
106,"import java.util.HashMap;
import java.util.Map;

public class ResourceTypeHandlerWrapper {
    private Map<String, ResourceTypeHandler> types;

    public ResourceTypeHandlerWrapper(Map<String, ResourceTypeHandler> types) {
        this.types = types;
    }

    public ResourceTypeHandler getResourceTypeHandler(String name) {
        if (types.containsKey(name)) {
            return types.get(name);
        } else {
            return null;
        }
    }

    public String getPath(ResourceTypeHandler resourceTypeHandler) {
        if (resourceTypeHandler == null) {
            return null;
        }
        return resourceTypeHandler.getName();
    }

    public ResourceTypeHandler getDefaultResourceType() {
        return null;
    }

    @Override
    public int hashCode() {
        return 0;
    }

    @Override
    public boolean equals(Object obj) {
        if (obj == this) {
            return true;
        } else if (!(obj instanceof ResourceTypeHandlerWrapper)) {
            return false;
        } else {
            ResourceTypeHandlerWrapper other = (ResourceTypeHandlerWrapper) obj;
            return this.types.equals(other.types);
        }
    }
}"
107,"public class TemplateDelegator extends TestNodeVisitor {
    @Override
    public void testDocumentType(DocumentType node) {
        // Custom logic goes here
    }

    @Override
    public void testComment(Comment node) {
        // Custom logic goes here
    }

    @Override
    public void testNode(Node node) {
        // Custom logic goes here
    }

    @Override
    public void testElement(Element node) {
        // Custom logic goes here
    }

    @Override
    public void testEntity(Entity node) {
        // Custom logic goes here
    }

    @Override
    public void noMoreNodes() {
        // Custom logic goes here
    }

    @Override
    public void testAttribute(Attr node) {
        // Custom logic goes here
    }

    @Override
    public void testText(Text node) {
        // Custom logic goes here
    }

    @Override
    public void testEntityReference(EntityReference node) {
        // Custom logic goes here
    }

    @Override
    public void testCDATASection(CDATASection node) {
        // Custom logic goes here
    }

    @Override
    public void testProcessingInstruction(ProcessingInstruction node) {
        // Custom logic goes here
    }
}"
