Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume,MI,Interpretation
1,1.42,3.4,6.67,1.0,2.73,1.85,10.0,3.8,5.61,Moderately maintainable
2,2.36,1.56,2.0,1.0,1.36,2.36,10.0,1.93,7.72,Highly maintainable
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
4,1.51,3.0,1.0,1.0,1.17,1.34,5.5,1.39,8.63,Highly maintainable
5,1.85,1.6,1.67,1.0,1.22,1.85,10.0,1.35,8.3,Highly maintainable
6,2.1,2.73,6.67,1.73,1.48,3.21,10.0,5.21,5.9,Moderately maintainable
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
8,2.53,1.17,1.0,3.52,2.2,2.36,5.5,6.0,7.06,Moderately maintainable
9,1.76,3.17,6.33,3.81,1.37,1.34,10.0,4.12,5.39,Moderately maintainable
10,1.34,1.0,1.33,3.25,1.47,1.34,5.5,1.6,8.56,Highly maintainable
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
13,2.02,3.25,6.33,1.96,1.49,1.17,10.0,3.62,5.02,Moderately maintainable
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
15,1.51,3.0,1.33,1.0,1.34,1.51,10.0,1.42,8.32,Highly maintainable
16,4.23,3.45,1.33,1.0,1.19,4.23,5.5,2.75,8.14,Highly maintainable
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
18,1.51,2.5,3.0,2.0,1.59,1.51,10.0,1.83,7.38,Moderately maintainable
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
21,5.92,1.0,1.67,1.39,1.33,5.92,5.5,3.18,7.95,Highly maintainable
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
23,2.02,2.12,7.0,1.0,1.73,2.02,10.0,3.36,5.62,Moderately maintainable
24,2.19,1.21,2.0,1.0,1.34,2.19,10.0,2.7,7.16,Moderately maintainable
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.26,7.77,Highly maintainable
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
27,3.55,1.8,8.0,1.0,1.52,3.55,10.0,3.1,5.97,Moderately maintainable
28,2.19,2.29,3.67,1.62,1.5,2.19,10.0,3.33,6.46,Moderately maintainable
29,2.27,2.6,2.33,1.0,1.2,3.55,10.0,2.9,7.68,Highly maintainable
30,2.87,1.68,7.33,1.13,1.17,2.7,5.5,2.2,6.61,Moderately maintainable
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
32,3.04,1.62,5.67,2.95,1.53,2.87,10.0,4.37,5.93,Moderately maintainable
33,3.04,1.62,1.0,1.0,1.2,3.04,5.5,1.64,8.95,Highly maintainable
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,9.34,Highly maintainable
35,1.17,1.0,1.33,1.0,1.42,1.17,10.0,1.38,8.15,Highly maintainable
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
37,2.44,1.71,3.67,1.0,1.28,3.89,10.0,2.14,7.77,Highly maintainable
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
39,1.51,3.33,3.33,1.28,1.46,2.53,10.0,2.82,7.31,Moderately maintainable
40,1.85,2.35,2.0,1.0,1.38,2.7,10.0,2.77,7.63,Highly maintainable
41,1.34,4.75,1.33,2.81,1.81,1.34,5.5,2.83,7.68,Highly maintainable
42,1.68,1.0,1.0,1.0,1.17,1.68,5.5,1.18,9.08,Highly maintainable
43,1.17,2.5,5.0,1.0,1.17,1.17,5.5,3.59,5.76,Moderately maintainable
44,10.0,1.76,1.0,1.0,1.17,10.0,5.5,3.43,8.55,Highly maintainable
45,1.17,1.0,1.33,1.56,1.17,1.17,5.5,1.38,8.51,Highly maintainable
46,1.17,2.5,1.33,2.69,2.36,1.17,10.0,1.52,8.27,Highly maintainable
47,1.17,1.0,1.0,1.8,1.17,1.0,5.5,1.25,8.72,Highly maintainable
48,1.34,4.0,2.0,4.86,1.72,1.34,5.5,2.28,7.81,Highly maintainable
