Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
1,4.05,1.15,1.1,1.0,1.29,3.09,7.0,1.32
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.8,1.06,1.19,1.0,1.94,1.33,7.0,1.29
4,1.48,1.32,1.0,1.0,1.29,1.22,4.0,1.11
5,2.12,1.18,1.39,1.0,1.47,1.66,7.0,1.2
6,3.25,1.28,1.19,1.27,1.59,2.54,4.0,1.42
7,1.32,1.32,1.0,2.73,1.0,1.22,1.0,1.07
8,2.37,1.09,1.77,1.09,1.58,2.87,7.0,1.54
9,1.16,1.16,1.58,1.0,2.5,1.11,7.0,1.28
10,1.32,1.08,1.1,1.0,1.39,1.44,7.0,1.12
11,1.8,1.19,1.19,1.43,1.49,1.55,7.0,1.12
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06
13,1.96,1.4,2.55,1.0,1.99,1.88,7.0,1.67
14,1.26,1.2,1.1,1.0,1.21,1.88,7.0,1.08
15,1.16,1.32,1.77,4.21,4.86,1.11,7.0,1.35
16,3.89,1.61,4.68,1.0,2.36,2.98,7.0,2.61
17,1.08,3.79,1.0,2.19,2.48,1.11,4.0,1.33
18,1.64,1.24,1.29,1.0,1.32,1.44,4.0,1.22
19,2.77,1.44,1.39,1.0,1.61,2.21,7.0,1.44
20,1.21,1.48,1.19,1.68,1.71,1.44,4.0,1.19
21,5.34,1.0,1.68,1.34,1.86,3.96,4.0,1.91
22,1.54,1.23,1.29,1.0,1.47,2.1,7.0,1.32
23,3.41,1.15,3.81,1.0,2.26,2.43,7.0,2.16
24,2.45,1.07,1.19,1.0,1.33,1.99,7.0,1.26
25,1.16,5.5,1.19,1.0,4.57,1.11,7.0,1.1
26,2.93,1.29,1.0,1.0,1.24,2.32,4.0,1.14
27,2.29,1.1,3.23,1.27,1.55,2.76,7.0,1.76
28,1.24,1.54,1.0,1.32,1.43,1.66,4.0,1.14
29,1.32,1.38,1.68,1.0,1.88,1.55,7.0,1.48
30,2.61,1.16,1.39,1.0,1.29,2.1,7.0,1.27
31,5.18,1.01,1.0,1.1,1.27,3.85,4.0,1.49
32,3.89,1.21,2.06,1.38,1.54,2.87,7.0,1.78
33,2.45,1.0,1.0,1.0,1.33,1.99,4.0,1.28
34,2.93,1.08,1.0,1.0,1.29,2.32,4.0,1.23
35,2.29,1.08,1.77,1.15,1.79,1.66,7.0,1.3
36,5.02,1.15,1.0,1.0,1.29,3.74,4.0,1.39
37,1.88,1.2,1.58,1.42,1.39,2.21,7.0,1.24
