Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume,MI,Interpretation
1,1.66,1.67,1.39,1.0,1.3,1.66,10.0,2.11,7.72,Highly maintainable
10,1.37,2.8,1.98,1.0,1.74,1.37,10.0,1.93,7.38,Moderately maintainable
100,2.83,1.0,1.0,1.0,1.59,2.83,5.5,4.57,7.29,Moderately maintainable
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
102,1.73,2.5,1.0,1.0,1.27,1.73,5.5,1.61,8.65,Highly maintainable
103,1.59,4.0,1.0,1.37,1.24,1.59,5.5,2.69,7.95,Highly maintainable
104,1.22,3.0,1.78,2.15,1.73,1.15,10.0,1.99,7.52,Highly maintainable
105,2.1,3.4,1.39,1.0,1.27,2.1,5.5,2.88,7.6,Highly maintainable
106,1.37,2.8,1.78,1.0,1.35,1.37,10.0,1.69,7.73,Highly maintainable
107,1.8,3.73,1.0,5.38,1.0,1.8,1.0,1.87,9.55,Highly maintainable
108,2.1,2.4,1.0,1.0,1.31,2.1,5.5,2.96,7.84,Highly maintainable
109,2.76,3.12,2.96,4.55,1.11,2.76,10.0,4.6,6.7,Moderately maintainable
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
110,2.46,1.0,1.0,1.0,1.42,2.46,5.5,3.12,7.8,Highly maintainable
111,1.07,4.0,1.0,1.0,2.23,1.07,5.5,1.52,8.36,Highly maintainable
112,1.66,3.0,1.39,1.0,1.44,1.59,10.0,2.67,7.3,Moderately maintainable
113,2.1,4.0,1.59,1.62,1.31,2.1,10.0,2.5,7.67,Highly maintainable
114,1.66,2.0,1.39,2.06,1.33,1.66,10.0,2.08,7.98,Highly maintainable
115,2.02,2.5,1.0,1.0,1.27,2.02,5.5,1.99,8.42,Highly maintainable
116,1.29,2.5,1.0,1.0,1.27,1.29,5.5,1.18,8.94,Highly maintainable
117,2.1,2.6,5.5,3.49,1.43,2.1,10.0,4.92,5.74,Moderately maintainable
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
12,1.44,2.0,1.2,4.67,1.0,1.44,1.0,1.87,9.18,Highly maintainable
120,2.46,2.35,1.0,1.0,1.27,2.46,5.5,2.75,8.05,Highly maintainable
121,2.46,4.0,3.54,1.0,1.48,2.46,10.0,3.72,6.26,Moderately maintainable
122,1.07,4.0,2.17,3.35,6.05,1.07,10.0,2.19,7.13,Moderately maintainable
123,2.61,3.32,3.35,1.0,1.36,1.37,10.0,4.42,5.1,Moderately maintainable
124,1.07,4.0,1.2,3.62,1.41,1.07,5.5,1.19,9.06,Highly maintainable
125,2.17,3.25,1.0,3.82,1.12,2.17,5.5,3.48,8.09,Highly maintainable
126,2.02,1.0,1.0,1.0,1.5,2.02,5.5,2.62,7.94,Highly maintainable
127,1.0,1.0,1.2,2.67,1.0,1.0,1.0,1.22,9.4,Highly maintainable
128,1.29,4.0,1.0,1.94,1.34,1.15,5.5,2.16,8.08,Highly maintainable
129,1.73,3.4,1.39,3.4,1.52,1.66,10.0,2.98,7.55,Highly maintainable
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
130,1.44,1.0,1.0,1.0,1.45,1.44,5.5,1.63,8.46,Highly maintainable
131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
132,1.07,4.0,2.57,1.0,6.45,1.07,10.0,2.58,6.33,Moderately maintainable
133,1.29,5.5,2.57,3.07,3.18,1.29,10.0,3.52,6.48,Moderately maintainable
134,1.88,1.0,1.0,1.0,1.44,1.88,5.5,2.34,8.08,Highly maintainable
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
136,2.02,2.5,1.0,1.0,1.27,2.02,5.5,2.13,8.32,Highly maintainable
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
138,1.22,3.0,1.39,1.65,1.95,1.15,5.5,1.82,7.95,Highly maintainable
