Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume,MI,Interpretation
1,1.84,1.55,1.84,1.08,1.34,4.05,10.0,2.92,8.27,Highly maintainable
2,1.72,1.71,1.59,1.98,1.38,1.8,10.0,1.79,8.15,Highly maintainable
3,1.16,3.57,1.0,1.0,1.21,1.0,5.5,1.19,8.66,Highly maintainable
4,1.8,1.51,1.25,1.0,1.24,1.64,10.0,1.37,8.38,Highly maintainable
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
6,1.16,2.29,1.08,3.49,1.75,1.16,5.5,1.25,9.06,Highly maintainable
7,1.48,2.71,1.34,2.7,1.79,1.16,10.0,1.63,7.98,Highly maintainable
8,1.64,1.48,2.26,1.81,1.42,1.48,10.0,2.11,7.28,Moderately maintainable
9,1.16,2.29,1.0,3.54,3.46,1.16,5.5,1.58,8.65,Highly maintainable
10,1.48,1.43,1.25,4.8,1.5,1.32,10.0,1.41,8.65,Highly maintainable
11,1.35,1.94,1.25,1.39,1.24,2.77,10.0,2.09,8.94,Highly maintainable
12,1.64,3.09,2.43,1.85,1.84,2.29,10.0,3.11,7.29,Moderately maintainable
13,1.28,3.94,1.5,2.01,1.66,2.12,10.0,2.13,8.47,Highly maintainable
14,2.12,1.73,1.42,2.13,1.69,1.64,10.0,2.13,7.63,Highly maintainable
15,4.05,2.22,2.51,1.74,1.59,3.25,10.0,3.35,6.83,Moderately maintainable
16,1.8,3.83,2.09,3.8,2.46,1.16,10.0,2.5,6.8,Moderately maintainable
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
19,1.54,2.16,1.67,2.32,1.48,2.45,10.0,2.26,8.38,Highly maintainable
20,5.34,1.0,2.01,1.0,1.54,5.34,5.5,3.96,7.26,Moderately maintainable
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
22,3.09,2.68,4.11,1.8,2.21,2.77,10.0,4.17,6.02,Moderately maintainable
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
25,1.96,1.64,1.42,4.98,1.2,1.96,5.5,1.84,8.71,Highly maintainable
26,2.77,1.47,2.85,2.11,1.73,2.45,10.0,3.22,6.73,Moderately maintainable
27,1.96,1.64,1.93,4.73,1.29,1.96,5.5,2.57,7.9,Highly maintainable
28,1.48,2.71,1.25,1.51,2.14,1.48,10.0,1.77,8.07,Highly maintainable
29,2.61,1.51,1.17,1.23,1.23,2.61,5.5,1.38,9.03,Highly maintainable
30,8.39,1.64,1.0,1.0,1.21,8.39,5.5,3.03,8.63,Highly maintainable
31,3.41,1.51,2.43,2.39,1.38,3.25,10.0,2.87,7.37,Moderately maintainable
32,1.96,3.14,1.25,2.61,1.23,1.96,10.0,1.65,8.63,Highly maintainable
