Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
1,1.84,1.55,1.84,1.08,1.34,4.05,10.0,2.92
2,1.72,1.71,1.59,1.98,1.38,1.8,10.0,1.79
3,1.16,3.57,1.0,1.0,1.21,1.0,5.5,1.19
4,1.8,1.51,1.25,1.0,1.24,1.64,10.0,1.37
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.16,2.29,1.08,3.49,1.75,1.16,5.5,1.25
7,1.48,2.71,1.34,2.7,1.79,1.16,10.0,1.63
8,1.64,1.48,2.26,1.81,1.42,1.48,10.0,2.11
9,1.16,2.29,1.0,3.54,3.46,1.16,5.5,1.58
10,1.48,1.43,1.25,4.8,1.5,1.32,10.0,1.41
11,1.35,1.94,1.25,1.39,1.24,2.77,10.0,2.09
12,1.64,3.09,2.43,1.85,1.84,2.29,10.0,3.11
13,1.28,3.94,1.5,2.01,1.66,2.12,10.0,2.13
14,2.12,1.73,1.42,2.13,1.69,1.64,10.0,2.13
15,4.05,2.22,2.51,1.74,1.59,3.25,10.0,3.35
16,1.8,3.83,2.09,3.8,2.46,1.16,10.0,2.5
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.54,2.16,1.67,2.32,1.48,2.45,10.0,2.26
20,5.34,1.0,2.01,1.0,1.54,5.34,5.5,3.96
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,3.09,2.68,4.11,1.8,2.21,2.77,10.0,4.17
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.96,1.64,1.42,4.98,1.2,1.96,5.5,1.84
26,2.77,1.47,2.85,2.11,1.73,2.45,10.0,3.22
27,1.96,1.64,1.93,4.73,1.29,1.96,5.5,2.57
28,1.48,2.71,1.25,1.51,2.14,1.48,10.0,1.77
29,2.61,1.51,1.17,1.23,1.23,2.61,5.5,1.38
30,8.39,1.64,1.0,1.0,1.21,8.39,5.5,3.03
31,3.41,1.51,2.43,2.39,1.38,3.25,10.0,2.87
32,1.96,3.14,1.25,2.61,1.23,1.96,10.0,1.65
33,2.93,1.43,1.0,1.66,1.16,2.93,5.5,1.37
34,1.48,3.14,1.5,1.6,1.82,1.32,10.0,1.58
35,4.7,1.67,1.0,1.0,1.21,4.7,5.5,1.84
36,2.12,1.64,2.26,5.82,1.25,3.25,10.0,3.05
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1.4,2.8,1.5,1.29,1.51,1.8,10.0,1.5
39,1.56,2.29,1.67,1.89,1.77,2.12,10.0,2.28
40,2.34,1.67,1.0,1.0,1.21,5.02,5.5,1.61
41,1.64,1.0,1.0,1.0,1.21,1.64,5.5,1.15
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,6.62,1.7,1.0,1.0,1.21,6.62,5.5,2.33
44,1.38,1.37,1.42,4.73,1.34,2.12,5.5,2.1
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1.32,2.93,1.17,1.98,1.48,1.16,10.0,1.3
47,3.41,1.81,1.59,1.0,1.32,5.66,10.0,2.68
48,1.16,3.57,1.25,5.79,2.93,1.16,10.0,1.51
49,1.08,2.29,1.08,2.44,1.64,1.32,5.5,1.58
50,2.29,1.72,2.51,1.0,1.4,5.98,10.0,3.43
51,1.8,3.31,1.17,1.0,1.26,1.64,10.0,1.32
52,3.89,1.0,1.0,1.0,1.85,3.89,5.5,3.65
53,3.41,1.51,1.17,1.0,1.31,3.25,10.0,1.95
54,2.23,1.56,2.43,1.0,1.49,4.7,10.0,2.75
55,1.32,1.64,1.25,3.27,1.21,1.32,5.5,1.85
56,2.45,1.57,1.34,1.96,1.31,2.45,10.0,1.75
57,9.36,1.57,1.5,1.99,1.27,9.36,10.0,4.28
58,1.54,1.77,1.0,4.34,1.21,2.61,5.5,1.92
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,4.21,1.45,1.0,1.0,1.21,4.21,5.5,1.83
61,5.5,1.78,1.17,1.42,1.22,5.5,5.5,2.16
62,3.57,1.16,2.43,1.08,1.42,6.14,10.0,4.45
63,5.18,1.84,1.0,1.22,1.2,1.0,5.5,1.93
64,1.32,2.93,1.25,2.15,1.64,1.32,10.0,1.5
65,3.41,1.77,1.93,1.0,1.4,3.41,10.0,2.09
66,1.32,3.41,1.42,2.49,1.38,2.29,10.0,1.95
67,1.8,1.64,1.42,2.13,1.25,2.61,10.0,2.07
68,1.32,6.14,1.0,4.19,2.39,1.32,5.5,1.52
69,2.61,1.64,1.08,3.16,1.23,2.45,5.5,1.96
