Example,Generated Java Code
1,"import java.util.ArrayList;
import java.util.HashMap;

class FunctionMapper {

    private int parentScope;
    private ArrayList<Integer> functionBracePositions;
    private Object[] funcObjects;
    private int functionNum;
    private ArrayList<HashMap<String, String>> functionVarMappings;
    private int lastTokenCount;
    private ArrayList<String> replacedTokens;

    private boolean isInScopeChain;

    private int nestingLevel = 0;

    public FunctionMapper() {
        functionVarMappings = new ArrayList<>();
        replacedTokens = new ArrayList<>();
    }

    public void setParentScope(int parentScope) {
        this.parentScope = parentScope;
    }

    public void setFunctionBracePositions(ArrayList<Integer> functionBracePositions) {
        this.functionBracePositions = functionBracePositions;
    }

    public void setFuncObjects(Object[] funcObjects) {
        this.funcObjects = funcObjects;
    }

    public void setFunctionNum(int functionNum) {
        this.functionNum = functionNum;
    }

    public void setLastTokenCount(int lastTokenCount) {
        this.lastTokenCount = lastTokenCount;
    }

    public void setReplacedTokens(ArrayList<String> replacedTokens) {
        this.replacedTokens = replacedTokens;
    }

    public boolean isInScopeChain() {
        return isInScopeChain;
    }

    public void reset() {
        functionVarMappings.clear();
        replacedTokens.clear();
        nestingLevel = 0;
    }

    public void leaveNestingLevel() {
        if (nestingLevel > 0) {
            nestingLevel--;
        }
    }

    public String getMappedToken() {
        return null;
    }

    public String getPreviousTokenMapping() {
        return null;
    }

    public void collectFuncNodes() {
    }

    public int sourceCompress() {
        return 0;
    }

    public void enterNestingLevel() {
        nestingLevel++;
    }

    public void setIsInScopeChain(boolean isInScopeChain) {
        this.isInScopeChain = isInScopeChain;
    }

    public ArrayList<HashMap<String, String>> getFunctionVarMappings() {
        return functionVarMappings;
    }

    public void addFunctionVarMapping(HashMap<String, String> mapping) {
        functionVarMappings.add(mapping);
    }

    public ArrayList<String> getReplacedTokens() {
        return replacedTokens;
    }

    public void addReplacedToken(String token) {
        replacedTokens.add(token);
    }
}"
2,"import java.io.IOException;
import java.math.BigInteger;
import java.nio.file.Files;
import java.nio.file.Path;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;
import java.util.Arrays;
import java.util.Objects;

public class Sha256Hash implements Comparable<Sha256Hash> {

    public static final Sha256Hash ZERO_HASH = new Sha256Hash(new byte[32]);

    private final byte[] bytes;

    public Sha256Hash(byte[] bytes) {
        if (bytes == null || bytes.length != 32) {
            throw new IllegalArgumentException(""SHA-256 hash must be 32 bytes long"");
        }
        this.bytes = Arrays.copyOf(bytes, bytes.length);
    }

    public byte[] getBytes() {
        return Arrays.copyOf(bytes, bytes.length);
    }

    public Sha256Hash duplicate() {
        return new Sha256Hash(getBytes());
    }

    public static Sha256Hash create(byte[] input) {
        try {
            MessageDigest digest = MessageDigest.getInstance(""SHA-256"");
            byte[] hash = digest.digest(input);
            return new Sha256Hash(hash);
        } catch (NoSuchAlgorithmException e) {
            throw new RuntimeException(e);
        }
    }
    
    public static Sha256Hash create(Path filePath) throws IOException {
        byte[] fileBytes = Files.readAllBytes(filePath);
        return create(fileBytes);
    }

    public static Sha256Hash createDouble(byte[] input) {
        return create(create(input).getBytes());
    }

    public BigInteger toBigInteger() {
        return new BigInteger(1, bytes);
    }

    @Override
    public String toString() {
        StringBuilder sb = new StringBuilder();
        for (byte b : bytes) {
            sb.append(String.format(""%02x"", b));
        }
        return sb.toString();
    }

    @Override
    public boolean equals(Object o) {
        if (this == o) return true;
        if (o == null || getClass() != o.getClass()) return false;
        Sha256Hash that = (Sha256Hash) o;
        return Arrays.equals(bytes, that.bytes);
    }

    @Override
    public int hashCode() {
        return Arrays.hashCode(bytes);
    }

    @Override
    public int compareTo(Sha256Hash other) {
        return UnsignedBytes.lexicographicalComparator().compare(this.bytes, other.bytes);
    }
}

import java.util.Comparator;

final class UnsignedBytes {
  private UnsignedBytes() {}

  /**
   * Returns a lexicographical comparator for byte arrays, treating elements as unsigned.
   *
   * <p><b>Java 8 users:</b> Use {@code Byte.toUnsignedInt} instead of masking with {@code 0xFF}.
   */
  public static Comparator<byte[]> lexicographicalComparator() {
    return LexicographicalComparatorHolder.BEST_COMPARATOR;
  }

  /**
   * Provides a reusable lexicographical comparator instance.
   */
  private static class LexicographicalComparatorHolder {
    static final Comparator<byte[]> BEST_COMPARATOR = getBestComparator();

    private static Comparator<byte[]> getBestComparator() {
      try {
        Class<?> theClass =
            Class.forName(
                UnsignedBytes.class.getName() + ""$LexicographicalComparatorHolder$PureJavaComparator"");
        @SuppressWarnings(""unchecked"")
        Comparator<byte[]> comparator = (Comparator<byte[]>) theClass.getEnumConstants()[0];
        return comparator;
      } catch (Throwable t) { // ensure we really return a PureJavaComparator
        return lexicographicalComparatorJavaImpl();
      }
    }

    private enum PureJavaComparator implements Comparator<byte[]> {
      INSTANCE;

      @Override
      public int compare(byte[] b1, byte[] b2) {
        int len1 = b1.length;
        int len2 = b2.length;
        int minLength = Math.min(len1, len2);
        for (int i = 0; i < minLength; i++) {
          int result = UnsignedBytes.compare(b1[i], b2[i]);
          if (result != 0) {
            return result;
          }
        }
        return len1 - len2;
      }
    }
  }

  /**
   * Compares two {@code byte} values, treating them as unsigned values.
   * For example, {@code compare((byte) -1, (byte) 0)} returns a value greater than 0, since
   * {@code -1} is conceptually larger than {@code 0} when treated as unsigned.
   *
   * @param a the first {@code byte} to compare
   * @param b the second {@code byte} to compare
   * @return a negative value if {@code a} is less than {@code b}; a positive value if {@code a} is
   *     greater than {@code b}; or zero if they are equal
   * @since 9.0
   */
  public static int compare(byte a, byte b) {
    return toInt(a) - toInt(b);
  }

  /**
   * Returns the {@code int} value to which the given {@code byte} is unsignedly extended.
   *
   * <p>Java 8 users: Use {@link Byte#toUnsignedInt(byte)} instead.
   *
   * @since 8.0
   */
  public static int toInt(byte value) {
    return value & 0xFF;
  }
  
  private static Comparator<byte[]> lexicographicalComparatorJavaImpl() {
      return new Comparator<byte[]>() {
          @Override
          public int compare(byte[] b1, byte[] b2) {
              int len1 = b1.length;
              int len2 = b2.length;
              int minLength = Math.min(len1, len2);
              for (int i = 0; i < minLength; i++) {
                  int result = UnsignedBytes.compare(b1[i], b2[i]);
                  if (result != 0) {
                      return result;
                  }
              }
              return len1 - len2;
          }
      };
  }
}"
3,"import java.util.UUID;
import java.util.logging.Logger;

class MYCLASS {

    private static final Logger LOG = Logger.getLogger(MYCLASS.class.getName());

    private String id;
    private boolean canCreate;

    public MYCLASS(String id, boolean canCreate) {
        this.id = id;
        this.canCreate = canCreate;
    }

    public MYCLASS(boolean canCreate) {
        this.canCreate = canCreate;
    }
    public String readObjectID() {
        if (id == null && canCreate) {
            id = createObjectID();
        }
        return id;
    }

    private String createObjectID() {
        if (id == null) {
            id = generateID();
            LOG.info(""New object ID created: "" + id);
        } else {
            LOG.warning(""Attempted to create an ID when one already exists."");
        }
        return id;
    }

    private String generateID() {
        return UUID.randomUUID().toString();
    }

    @Override
    public String toString() {
        return ""MYCLASS{"" +
                ""id='"" + id + '\'' +
                '}';
    }

    public static void main(String[] args) {
        MYCLASS obj1 = new MYCLASS(true);
        System.out.println(""Object 1 ID: "" + obj1.readObjectID());
        System.out.println(obj1);

        MYCLASS obj2 = new MYCLASS(""existingID"", false);
        System.out.println(""Object 2 ID: "" + obj2.readObjectID());
        System.out.println(obj2);

        MYCLASS obj3 = new MYCLASS(null, true);
        System.out.println(""Object 3 ID: "" + obj3.readObjectID());
        System.out.println(obj3);

        MYCLASS obj4 = new MYCLASS(false);
        System.out.println(""Object 4 ID: "" + obj4.readObjectID());
        System.out.println(obj4);


    }
}"
4,"import org.hamcrest.Description;
import org.hamcrest.Matcher;
import org.hamcrest.TypeSafeMatcher;

public class GreaterThanMatcher<T extends Comparable<T>> extends TypeSafeMatcher<T> {

    private final T expected;

    public GreaterThanMatcher(T expected) {
        this.expected = expected;
    }

    @Override
    protected boolean matchesSafely(T actual) {
        return actual.compareTo(expected) > 0;
    }

    @Override
    public void describeTo(Description description) {
        description.appendText(""greater than "").appendValue(expected);
    }

    public static <T extends Comparable<T>> Matcher<T> greaterThan(T expected) {
        return new GreaterThanMatcher<>(expected);
    }
}"
5,"class Fraction {
    private int num;
    private int denom;

    public Fraction(int num, int denom) {
        if (denom == 0) {
            throw new IllegalArgumentException(""Denominator cannot be zero."");
        }
        this.num = num;
        this.denom = denom;
    }

    public int getNum() {
        return num;
    }

    public int getDenom() {
        return denom;
    }

    public boolean isOne() {
        return num == denom;
    }

    public Fraction getScaled(int scaleFactor) {
        return new Fraction(num * scaleFactor, denom * scaleFactor);
    }

    @Override
    public boolean equals(Object obj) {
        if (this == obj) return true;
        if (obj == null || getClass() != obj.getClass()) return false;
        Fraction fraction = (Fraction) obj;
        return num * fraction.denom == fraction.num * denom;
    }

    @Override
    public int hashCode() {
        int gcd = gcd(num, denom);
        int simplifiedNum = num / gcd;
        int simplifiedDenom = denom / gcd;
        return 31 * simplifiedNum + simplifiedDenom;
    }

     private int gcd(int a, int b) {
        if (b == 0) {
            return Math.abs(a);
        }
        return gcd(b, a % b);
    }
}"
6,"import java.util.ArrayList;
import java.util.Date;
import java.util.HashMap;
import java.util.Map;
import org.json.JSONObject;

class GenericJSONBuilder {

    private Map<String, Object> data;

    public GenericJSONBuilder() {
        this.data = new HashMap<>();
    }

    public GenericJSONBuilder setIDstr(String id_str) {
        data.put(""id_str"", id_str);
        return this;
    }

    public GenericJSONBuilder setPlaceName(String place_name) {
        data.put(""place_name"", place_name);
        return this;
    }

    public GenericJSONBuilder addText(String text) {
        data.put(""text"", text);
        return this;
    }

    public GenericJSONBuilder addField(String key, Object value) {
        data.put(key, value);
        return this;
    }

    public GenericJSONBuilder setCoordinateRadius(int loc_radius) {
        data.put(""loc_radius"", loc_radius);
        return this;
    }

    public GenericJSONBuilder setAuthor(String user_name) {
        data.put(""user_name"", user_name);
        return this;
    }
    public GenericJSONBuilder setUserid(String user_id) {
        data.put(""user_id"", user_id);
        return this;
    }
    public GenericJSONBuilder setCoordinate(double lat, double lng) {
        data.put(""latitude"", lat);
        data.put(""longitude"", lng);
        return this;
    }

    public GenericJSONBuilder setCreatedTime(Date created_at) {
        data.put(""created_at"", created_at);
        return this;
    }

     public static GenericJSONBuilder builder() {
        return new GenericJSONBuilder();
    }

    public void insert() {
         // Dummy implementation for insert
        System.out.println(""Inserting data: "" + new JSONObject(data).toString());
    }

    public String buildFieldJSON() {
          return new JSONObject(data).toString();
    }

    public void persist() {
        // Dummy implementation for persist
        System.out.println(""Persisting data: "" + new JSONObject(data).toString());
    }
     public static void main(String[] args) {
        Date now = new Date();
        ArrayList<String> extras = new ArrayList<>();
        extras.add(""extra1"");
        extras.add(""extra2"");

        GenericJSONBuilder builder = GenericJSONBuilder.builder()
            .setIDstr(""12345"")
            .setPlaceName(""Test Place"")
            .addText(""Hello, World!"")
            .addField(""extra_field"", ""some value"")
            .setCoordinateRadius(10)
            .setAuthor(""Test User"")
            .setUserid(""user123"")
            .setCoordinate(34.0522, -118.2437)
            .setCreatedTime(now);
         builder.insert();
          builder.persist();
          String json = builder.buildFieldJSON();
          System.out.println(json);
    }

}"
7,"import org.osgi.framework.BundleActivator;
import org.osgi.framework.BundleContext;

import java.util.HashMap;

public class MyBundleActivator implements BundleActivator {

    @Override
    public void start(BundleContext context) throws Exception {
        // IEnvironments environments, HashMap<String,XMPPConnectionFactory> factories, AutoSIMXMPPConfig config
    }

    @Override
    public void stop(BundleContext context) throws Exception {
        // Framework will automatically unregister any registered services.
    }
}"
8,"import java.io.IOException;
import org.junit.Before;
import org.junit.Test;
import static org.junit.Assert.*;

public class BufferedBlockInStreamSeekTest {

    private TestBufferedBlockInStream mTestStream;
    private long mBlockSize;
    private long mBufferSize;

    @Before
    public void before() throws IOException {
        mBlockSize = 1024;
        mBufferSize = 4096;
        mTestStream = new TestBufferedBlockInStream(mBlockSize, mBufferSize);
    }

    @Test
    public void testSeekBeginning() throws IOException {
        mTestStream.seek(0);
        assertEquals(0, mTestStream.getPos());
    }

    @Test
    public void testSeekWithinFirstBlock() throws IOException {
        mTestStream.seek(512);
        assertEquals(512, mTestStream.getPos());
    }

    @Test
    public void testSeekToBlockBoundary() throws IOException {
        mTestStream.seek(mBlockSize);
        assertEquals(mBlockSize, mTestStream.getPos());
    }

    @Test
    public void testSeekToMiddleOfSecondBlock() throws IOException {
        mTestStream.seek(mBlockSize + 512);
        assertEquals(mBlockSize + 512, mTestStream.getPos());
    }

    @Test
    public void testSeekBeyondEndOfStream() throws IOException {
        mTestStream.seek(mTestStream.getLength() + 1024);
        assertEquals(mTestStream.getLength() + 1024, mTestStream.getPos());
    }

    @Test
    public void testSeekNegative() throws IOException {
        try {
            mTestStream.seek(-1);
            fail(""Expected IOException"");
        } catch (IOException e) {
            // Expected
        }
    }

    private static class TestBufferedBlockInStream {
        private long mBlockSize;
        private long mBufferSize;
        private long mPos;
        private long mLength = 10 * 1024; //10 blocks

        public TestBufferedBlockInStream(long blockSize, long bufferSize) {
            mBlockSize = blockSize;
            mBufferSize = bufferSize;
            mPos = 0;
        }

        public void seek(long pos) throws IOException {
            if (pos < 0) {
                throw new IOException(""Negative seek offset"");
            }
            mPos = pos;
        }

        public long getPos() {
            return mPos;
        }

        public long getLength() {
            return mLength;
        }

        public int read() throws IOException {
            if(mPos >= mLength) {
                return -1;
            }
            mPos++;
            return 0;
        }

        public int read(byte[] b, int off, int len) throws IOException {
            if (b == null) {
                throw new NullPointerException();
            } else if (off < 0 || len < 0 || len > b.length - off) {
                throw new IndexOutOfBoundsException();
            } else if (len == 0) {
                return 0;
            }

            if (mPos >= mLength) {
                return -1;
            }

            int avail = (int) Math.min((long) len, mLength - mPos);
            mPos += avail;
            return avail;

        }

        public long skip(long n) throws IOException{
            if (n <= 0) {
                return 0;
            }
            long avail = Math.min(n, mLength - mPos);
            mPos += avail;
            return avail;
        }
    }

    @Test
    public void bufferRead() throws IOException {
        byte[] buf = new byte[10];
        mTestStream.read(buf, 0, 10);
    }

    @Test
    public void skip() throws IOException {
        mTestStream.skip(10);
    }

    @Test
    public void bulkRead() throws IOException {
        byte[] buf = new byte[1024];
        mTestStream.read(buf, 0, 1024);
    }

    @Test
    public void singleByteRead() throws IOException {
        mTestStream.read();
    }
}"
9,"import java.lang.ref.WeakReference;
import java.util.concurrent.CountDownLatch;
import java.util.concurrent.TimeUnit;

class GCUtils {

    interface PlaceHolder {}

    interface RuntimeException {}

    static class UnreachableObject {
        private final CountDownLatch latch;

        public UnreachableObject(CountDownLatch latch) {
            this.latch = latch;
        }

        @Override
        protected void finalize() throws Throwable {
            try {
                latch.countDown();
            } finally {
                super.finalize();
            }
        }
    }


    public static void awaitFullGC(long timeoutSeconds) throws InterruptedException {
        WeakReference<Object> weakRef = new WeakReference<>(new Object());
        CountDownLatch finalizationLatch = new CountDownLatch(1);

        UnreachableObject unreachable = new UnreachableObject(finalizationLatch);
        WeakReference<UnreachableObject> unreachableRef = new WeakReference<>(unreachable);

        unreachable = null;


        System.gc();
        System.runFinalization();

        boolean weakRefCleared = false;
        boolean finalizationRan = false;

        long startTime = System.nanoTime();

        while (!weakRefCleared || !finalizationRan) {
            if (!weakRefCleared && weakRef.get() == null) {
                weakRefCleared = true;
            }

            if (!finalizationRan && unreachableRef.get() == null) {
                finalizationRan = true;
            }


            if (!weakRefCleared || !finalizationRan) {
                if (!finalizationLatch.await(Math.max(1, TimeUnit.NANOSECONDS.toMillis(timeoutSeconds * 1_000_000_000L - (System.nanoTime() - startTime))), TimeUnit.MILLISECONDS)) {
                    throw new InterruptedException(""Timeout waiting for full GC: weakRefCleared="" + weakRefCleared + "", finalizationRan="" + finalizationRan);
                }
            }
            System.gc();
            System.runFinalization();
        }


    }
}"
10,"import com.amazonaws.services.s3.transfer.TransferManager;
import com.amazonaws.services.s3.transfer.TransferManagerBuilder;
import java.io.IOException;
import java.io.OutputStream;

class S3ADirectOutputStream {
    public void close() throws IOException {

    }
}

public class SetupTest {

    private TransferManager mManager;
    private String BUCKET_NAME;
    private String KEY;
    private S3ADirectOutputStream mStream;

    public void setup() {
        mManager = TransferManagerBuilder.standard().build();
        BUCKET_NAME = ""test-bucket"";
        KEY = ""test-key"";
        mStream = new S3ADirectOutputStream();
    }

    public void closeStream() throws IOException {
        if (mStream != null) {
            mStream.close();
        }
    }

    public static void main(String[] args) throws IOException {
        SetupTest test = new SetupTest();
        test.setup();
        test.closeStream();
    }
}"
